code,name_rusloc,name_engloc
blinded,Ослеплённый,Blinded
charmed,Очарованный,Charmed
deafened,Оглохший,Deafened
exhaustion,Истощение,Exhaustion
frightened,Испуганный,Frightened
grappled,Схваченный,Grappled
incapacitated,Недееспособный,Incapacitated
invisible,Невидимый,Invisible
paralyzed,Парализованный,Paralyzed
petrified,Окаменевший,Petrified
poisoned,Отравленный,Poisoned
prone,Опрокинутый,Prone
restrained,Опутанный,Restrained
stunned,Ошеломлённый,Stunned
unconscious,Бессознательный,Unconscious
