code,name_rusloc,name_engloc
arktika,Арктика,
astralnyy_plan,Астральный план,
akheron,Ахерон,
bezdna,Бездна,
bolota,Болота,
verkhnie_plany,Верхние планы,
geenna,Геенна,
gorod,Город,
gory,Горы,
devyat_preispodnikh,Девять преисподних,
zverinye_zemli,Звериные земли,
lesa,Леса,
limbo,Лимбо,
luga,Луга,
lyubaya,Любая,
mekhanus,Механус,
nizhnie_plany,Нижние планы,
pod_vodoy,Под водой,
podzeme,Подземье,
pribrezhe,Прибрежье,
pustynya,Пустыня,
stikhiynye_plany,Стихийные планы,
stikhiynyy_khaos,Стихийный Хаос,
stikhiynyy_plan_vody,Стихийный план Воды,
stikhiynyy_plan_vozdukha,Стихийный план Воздуха,
stikhiynyy_plan_zemli,Стихийный план Земли,
stikhiynyy_plan_ognya,Стихийный план Огня,
strana_fey,Страна фей,
kholmy,Холмы,
tsarstvo_teney,Царство теней,
efirnyy_plan,Эфирный план,
