code,name_rusloc,name_engloc
auran,Ауран),
bezdny,Бездны,
velikaniy,Великаний,
vorovskoy_zhargon,Воровской жаргон,
vse,Все,
vse_understands_common_and_druidic_but_can_t_speak,Все (Understands Common and Druidic but can’t speak),
vse_understands_common_but_can_t_speak,Все (Understands Common but can’t speak),
vse_understands_deep_speech_but_can_t_speak,Все (Understands Deep Speech but can’t speak),
vse_understands_all_but_can_t_speak,Все (Understands all but can’t speak),
gitskiy,Гитский,
glubinnaya_rech,Глубинная речь,
glubinnaya_rech_ponimaet,Глубинная речь (понимает,
gnolliy,Гноллий,
goblinskiy,Гоблинский,
drakoniy,Драконий,
drakoniy_ne_govorit_v_forme_viverny,Драконий (не говорит в форме виверны),
druidicheskiy,Друидический,
ignan,Игнан),
infernalnyy,Инфернальный,
infernalnyy_i_yazyk_bezdny,Инфернальный и язык Бездны,
modronskiy,Модронский,
nebesnyy,Небесный,
nebesnyy_i_pervichnyy,Небесный и Первичный,
nebesnyy_ponimaet_obshchiy,Небесный; понимает Общий,
obshchiy,Общий,
obshchiy_can_t_speak_in_dire_wolf_form,Общий (can’t speak in dire wolf form),
obshchiy_ne_mozhet_govorit_v_oblike_volka,Общий (не может говорить в облике волка),
obshchiy_ne_mozhet_govorit_v_forme_kabana,Общий (не может говорить в форме кабана),
obshchiy_ne_mozhet_govorit_v_forme_krysy,Общий (не может говорить в форме крысы),
obshchiy_ne_mozhet_govorit_v_forme_medvedya,Общий (не может говорить в форме медведя),
obshchiy_ne_mozhet_govorit_v_forme_tigra,Общий (не может говорить в форме тигра),
obshchiy_i_eshche_dva_yazyka,Общий и ещё два языка,
obshchiy_plyus_dva_drugikh_yazyka,Общий плюс два других языка,
obshchiy_plyus_eshche_odin_lyuboy_yazyk,Общий плюс ещё один Любой язык,
obshchiy_plyus_odin_lyuboy_yazyk,Общий плюс один Любой язык,
obshchiy_plyus_odin_drugoy_yazyk,Общий плюс один другой язык,
obshchiy_plyus_tri_drugikh_yazyka,Общий плюс три других языка,
otyagskiy,Отьягский,
pervichnyy,Первичный,
pervichnyy_ignan,Первичный (Ignan),
pervichnyy_akvan,Первичный (Акван,
pervichnyy_akvan_2,Первичный (Акван),
pervichnyy_auran,Первичный (Ауран,
pervichnyy_auran_2,Первичный (Ауран),
pervichnyy_ignan_2,Первичный (Игнан,
pervichnyy_ignan_3,Первичный (Игнан),
pervichnyy_terran,Первичный (Терран),
podzemnyy,Подземный,
ponimaet_glubinnuyu_rech_i_podzemnyy_yazyk,Понимает Глубинную речь и Подземный язык,
sakhuaginskiy,Сахуагинский,
silvan,Сильван,
slaadskiy,Слаадский,
terran,Терран),
tri_krinskiy,Три-кринский,
trogloditskiy,Троглодитский,
elfiyskiy,Эльфийский,
elfiyskiy_i_silvan,Эльфийский и Сильван,
yazyk_aarakokra,Язык Ааракокра,
yazyk_burykh_uvalney,Язык Бурых увальней,
yazyk_vorgov,Язык Воргов,
yazyk_zhabolyudov,Язык Жаболюдов,
yazyk_yeti,Язык Йети,
yazyk_kryukastykh_uzhasov,Язык Крюкастых ужасов,
yazyk_mertsayushchikh_psov,Язык Мерцающих псов,
znaet_drakoniy,знает Драконий,
znaet_nebesnyy,знает Небесный,
znaet_obshchiy,знает Общий,
znaet_obshchiy_i_glubinnuyu_rech,знает Общий и Глубинную речь,
znaet_obshchiy_i_pervichnyy_auran,знает Общий и Первичный (Ауран),
znaet_obshchiy_i_elfiyskiy,знает Общий и Эльфийский,
znaet_obshchiy_plyus_dva_drugikh_yazyka,знает Общий плюс два других языка,
znaet_obshchiy_plyus_eshche_odin_yazyk,знает Общий плюс ещё один язык,
znaet_obshchiy_plyus_odin_drugoy_yazyk,знает Общий плюс один другой язык,
znaet_pervichnyy,знает Первичный,
znaet_yazyk_bezdny,знает язык Бездны,
no_ne_govorit,но не говорит,
no_ne_govorit_2,но не говорит),
plyus_dva_drugikh_yazyka,плюс два других языка,
plyus_odin_drugoy_yazyk,плюс один другой язык,
ponimaet_glubinnuyu_rech,понимает Глубинную речь,
ponimaet_infernalnyy,понимает Инфернальный,
ponimaet_lyuboy_yazyk_i_komandy_na_nem,понимает Любой язык и команды на нём,
ponimaet_obshchiy,понимает Общий,
ponimaet_obshchiy_i_velikaniy,понимает Общий и Великаний,
ponimaet_obshchiy_i_drakoniy,понимает Общий и Драконий,
ponimaet_obshchiy_i_infernalnyy,понимает Общий и Инфернальный,
ponimaet_obshchiy_i_nebesnyy,понимает Общий и Небесный,
ponimaet_obshchiy_i_eshche_odin_yazyk,понимает Общий и ещё один язык,
ponimaet_obshchiy_plyus_dva_drugikh_yazyka,понимает Общий плюс два других языка,
ponimaet_pervichnyy,понимает Первичный,
ponimaet_silvan,понимает Сильван,
ponimaet_slaadskiy,понимает Слаадский,
ponimaet_elfiyskiy_i_silvan,понимает Эльфийский и Сильван,
ponimaet_vse_yazyki,понимает все языки,
ponimaet_yazyk_bezdny,понимает язык Бездны,
ponimayushchimi_yazyk_bezdny,понимающими язык Бездны),
