monster_external_id,damage_type,note
21156,COLD,
21157,ACID,
21158,LIGHTNING,
21159,FIRE,
21160,LIGHTNING,
21161,ACID,
21162,FIRE,
21163,POISON,
21164,FIRE,
21165,COLD,
21166,COLD,
21167,THUNDER,
21167,POISON,
21169,ACID,
21170,LIGHTNING,
21171,FIRE,
21172,LIGHTNING,
21173,ACID,
21174,FIRE,
21175,POISON,
21176,FIRE,
21177,COLD,
21178,COLD,
21180,PSYCHIC,
21180,POISON,
21181,PSYCHIC,
21181,POISON,
21182,PSYCHIC,
21182,POISON,
21183,PSYCHIC,
21183,POISON,
21187,ACID,
21187,POISON,
21190,PSYCHIC,
21196,FIRE,
21196,POISON,
21197,FIRE,
21197,POISON,
21200,FIRE,
21200,POISON,
21205,NECROTIC,
21205,COLD,
21205,POISON,
21206,FIRE,
21206,POISON,
21207,POISON,
21210,FIRE,
21210,POISON,
21211,LIGHTNING,
21212,POISON,
21217,ACID,
21218,SLASHING,
21218,ACID,
21218,COLD,
21218,LIGHTNING,
21220,ACID,
21220,NECROTIC,
21220,POISON,
21222,LIGHTNING,
21225,FIRE,
21225,POISON,
21226,POISON,
21227,FIRE,
21228,FIRE,
21229,LIGHTNING,
21243,FIRE,
21243,POISON,
21244,POISON,
21246,POISON,
21247,ACID,
21247,PSYCHIC,
21247,POISON,
21252,PSYCHIC,
21252,POISON,
21255,ACID,
21256,RADIANT,
21256,PSYCHIC,
21258,NECROTIC,
21258,POISON,
21269,NECROTIC,
21269,POISON,
21270,NECROTIC,
21270,POISON,
21272,POISON,
21274,NECROTIC,
21274,PSYCHIC,
21274,POISON,
21279,THUNDER,
21279,LIGHTNING,
21281,NECROTIC,
21281,POISON,
21284,POISON,
21288,POISON,
21290,POISON,
21291,FIRE,
21292,THUNDER,
21292,ACID,
21292,FIRE,
21292,COLD,
21292,LIGHTNING,
21292,POISON,
21297,RADIANT,
21297,NECROTIC,
21298,FIRE,
21298,POISON,
21304,FIRE,
21304,POISON,
21305,FIRE,
21306,NECROTIC,
21306,FIRE,
21306,POISON,
21307,FIRE,
21307,POISON,
21308,LIGHTNING,
21308,POISON,
21313,COLD,
21314,POISON,
21315,POISON,
21316,POISON,
21317,ACID,
21318,NECROTIC,
21318,POISON,
21319,POISON,
21320,NECROTIC,
21320,POISON,
21321,POISON,
21359,POISON,
21370,FIRE,
21372,POISON,
21373,POISON,
21376,POISON,
21379,LIGHTNING,
21386,POISON,
21390,POISON,
21392,FIRE,
21393,NECROTIC,
21393,POISON,
21394,POISON,
21401,POISON,
21403,FIRE,
21403,POISON,
21407,FIRE,
21407,COLD,
21407,POISON,
21408,COLD,
21408,POISON,
21409,FIRE,
21409,POISON,
21412,POISON,
21413,FIRE,
21413,PSYCHIC,
21413,POISON,
21416,NECROTIC,
21421,COLD,
21421,LIGHTNING,
21426,POISON,
21429,FIRE,
21429,POISON,
21430,NECROTIC,
21430,POISON,
21437,FIRE,
21437,POISON,
21438,FIRE,
21440,POISON,
21441,POISON,
21444,POISON,
21450,ACID,
21450,POISON,
21451,ACID,
21452,PSYCHIC,
21454,POISON,
21461,POISON,
21463,NECROTIC,
21463,POISON,
21464,NECROTIC,
21464,POISON,
21467,POISON,
21469,POISON,
21472,FIRE,
21476,ACID,
21476,POISON,
21477,SLASHING,
21477,LIGHTNING,
21479,POISON,
21498,FIRE,
21498,POISON,
21504,NECROTIC,
21504,POISON,
21513,POISON,
21514,POISON,
21515,POISON,
21520,FIRE,
21523,FIRE,
21523,COLD,
21524,POISON,
21534,FIRE,
21535,FIRE,
21536,FIRE,
21539,POISON,
21545,NECROTIC,
21545,POISON,
21546,NECROTIC,
21547,NECROTIC,
21547,POISON,
21548,LIGHTNING,
21549,POISON,
21551,COLD,
21552,POISON,
21554,FIRE,
21554,POISON,
21555,RADIANT,
21555,POISON,
21557,NECROTIC,
21557,POISON,
21558,PSYCHIC,
21559,PSYCHIC,
21560,PSYCHIC,
21563,FIRE,
21563,POISON,
21564,POISON,
21568,FIRE,
21568,POISON,
21571,PSYCHIC,
21571,POISON,
21572,THUNDER,
21572,LIGHTNING,
21575,NECROTIC,
21575,POISON,
21576,POISON,
21579,FIRE,
21579,POISON,
21585,FIRE,
21585,POISON,
21599,ACID,
21599,POISON,
21601,POISON,
21603,NECROTIC,
21603,COLD,
21605,NECROTIC,
21605,COLD,
21609,NECROTIC,
21609,POISON,
21611,POISON,
21613,POISON,
21618,POISON,
21619,POISON,
21626,COLD,
21627,POISON,
21628,LIGHTNING,
21628,POISON,
21630,COLD,
21633,NECROTIC,
21633,POISON,
21635,POISON,
21636,COLD,
21637,POISON,
21638,ACID,
21639,LIGHTNING,
21640,FIRE,
21641,LIGHTNING,
21642,ACID,
21643,FIRE,
21644,POISON,
21645,FIRE,
21646,FIRE,
21646,COLD,
21647,COLD,
21648,COLD,
21649,POISON,
21650,POISON,
21651,POISON,
21652,POISON,
21653,POISON,
21654,POISON,
27072,FIRE,
27072,POISON,
27073,FIRE,
27073,POISON,
27074,FIRE,
27074,POISON,
27185,FIRE,
27185,LIGHTNING,
27186,ACID,
27186,POISON,
27187,THUNDER,
27187,POISON,
27188,PSYCHIC,
27188,POISON,
29342,NECROTIC,
29353,PSYCHIC,
29354,PSYCHIC,
29354,POISON,
29357,PSYCHIC,
29357,POISON,
29358,PSYCHIC,
29358,POISON,
29366,COLD,
29367,POISON,
29368,POISON,
29369,POISON,
29370,FIRE,
29370,POISON,
29371,ACID,
29371,NECROTIC,
29371,POISON,
29372,NECROTIC,
29372,POISON,
29377,FIRE,
29377,POISON,
29379,NECROTIC,
29379,POISON,
29383,COLD,
29383,POISON,
29384,POISON,
29385,POISON,
30292,NECROTIC,
30292,POISON,
30447,POISON,
31338,POISON,
31340,POISON,
31343,POISON,
31344,POISON,
31345,POISON,
31346,LIGHTNING,
31348,NECROTIC,
31348,POISON,
31353,LIGHTNING,
31353,POISON,
31354,POISON,
31360,COLD,
31371,PSYCHIC,
31371,POISON,
31373,PSYCHIC,
