monster_external_id,section,sort_order,name_rusloc,name_engloc,kind,recharge_min,recharge_max,description_rusloc,description_engloc,attack_type,attack_bonus,reach_ft,range_ft,range_long_ft,save_ability,save_dc,feature_key
19821,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +2 , досягаемость 5 фт. Попадание : 1 Колющего урона.",,melee,2,5,,,,,19821:actions:0
19838,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Обезьяна совершает две атаки Кулаком.,,,,,,,,,19838:actions:0
19838,actions,1,Кулак,Fist,attack,,,"Кулак . Бросок рукопашной атаки : +5 , досягаемость 5 фт. Попадание : 5 ( 1к4 + 3 ) Дробящего урона",,melee,5,5,,,,,19838:actions:1
19838,actions,2,Камень,Rock,attack,6,6,"Камень ( Перезарядка 6 ) . Бросок дальнобойной атаки : +5 , дистанция 25/50 фт. Попадание : 10 ( 2к6 + 3 ) Дробящего урона",,ranged,5,,25,50,,,19838:actions:2
19839,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 1 Колющего урона",,melee,4,5,,,,,19839:actions:0
19840,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Медведь совершает две атаки Раздиранием .,,,,,,,,,19840:actions:0
19840,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 5 ( 1к6 + 2 ) Рубящего урона",,melee,4,5,,,,,19840:actions:1
19841,traits,0,Окровавленная ярость,Bloodied Fury,feature,,,"Окровавленная ярость . Пока кабан Окровавлен , он совершает с Преимуществом броски атаки .",,,,,,,,,19841:traits:0
19841,actions,0,Бодание,Gore,attack,,,"Бодание . Бросок рукопашной атаки : +3 , досягаемость 5 фт. Попадание : 4 ( 1к6 + 1 ) Колющего урона. Если цель Среднего размера или меньше, а кабан переместился как минимум на 20 футов по прямой к цели непосредственно перед попаданием, цель получает дополнительно 3 ( 1к6 ) Колющего урона и состояние Опрокинутый .",,melee,3,5,,,,,19841:actions:0
19977,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Медведь совершает одну атаку Укусом и одну атаку Когтями.,,,,,,,,,19977:actions:0
19977,actions,1,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +5 , досягаемость 5 фт. Попадание : 7 ( 1к8 + 3 ) Колющего урона",,melee,5,5,,,,,19977:actions:1
19977,actions,2,Когти,Claw,attack,,,"Когти . Бросок рукопашной атаки : +5 , досягаемость 5 фт. Попадание : 5 ( 1к4 + 3 ) Рубящего урона, и цель получает состояние Опрокинутый , если она Большого размера или меньше.",,melee,5,5,,,,,19977:actions:2
19978,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 4 ( 1к4 + 2 ) Дробящего урона",,melee,4,5,,,,,19978:actions:0
19979,traits,0,Прыгучая,Jumper,feature,,,"Прыгучая . Дистанция прыжка кошки определяется её Ловкостью, а не Силой.",,,,,,,,,19979:traits:0
19979,actions,0,Царапание,Scratch.,attack,,,"Царапание . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 1 Рубящего урона",,melee,4,5,,,,,19979:actions:0
19980,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 6 ( 1к8 + 2 ) Колющего урона.",,melee,4,5,,,,,19980:actions:0
19980,actions,1,Сжимание,Constrict,save,,,"Сжимание . Спасбросок Силы : Сл 12, одно существо Среднего размера или меньше, видимое удавом в пределах 5 футов. Провал : 7 ( 3к4 ) Дробящего урона, и цель становится Схваченной (Сл освобождения от захвата Сл 12).",,,,,,,STRENGTH,12,19980:actions:1
19982,traits,0,Задержка дыхания,Hold Breath,feature,,,Задержка дыхания . Крокодил может задержать дыхание на 1 час.,,,,,,,,,19982:traits:0
19982,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +4 , досягаемость 5 фт. Попадание : 6 ( 1к8 + 2 ) Колющего урона. Если цель — существо Среднего размера или меньше, она получает состояние Схваченный (Сл освобождения от захвата 14). Пока у цели есть это состояние, у неё есть и состояние Опутанный .",,melee,4,5,,,,,19982:actions:0
19983,traits,0,Тактика стаи,Pack Tactics,feature,,,"Тактика стаи . Волк совершает с Преимуществом броски атаки по существу, если его союзник , не имеющий состояния Недееспособный , находится в пределах 5 футов от этого существа.",,,,,,,,,19983:traits:0
19983,traits,1,,,feature,,,,,,,,,,,,19983:traits:1
19983,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +5 , досягаемость 5 фт. Попадание : 8 ( 1к10 + 3 ) Колющий урон, и цель получает состояние Опрокинутый , если она Большого размера или меньше.",,melee,5,5,,,,,19983:actions:0
19984,actions,0,Копыта,Hooves,attack,,,"Копыта . Бросок рукопашной атаки : +6 , досягаемость 5 фт. Попадание : 6 ( 1к4 + 4 ) Дробящего урона",,melee,6,5,,,,,19984:actions:0
19985,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Слон совершает две атаки Пронзанием .,,,,,,,,,19985:actions:0
19985,actions,1,Пронзание,Gore,attack,,,"Пронзание . Бросок рукопашной атаки : +8 , досягаемость 5 фт. Попадание : 15 ( 2к8 + 6 ) Колющего урона. Если цель — существо Огромного размера или меньше, а слон переместился к ней по прямой хотя бы на 20 футов сразу перед попаданием, цель становится Опрокинутой .",,melee,8,5,,,,,19985:actions:1
19985,bonus_actions,0,Топтание,Trample,save,,,"Топтание . Спасбросок Ловкости : Сл 16, одно Опрокинутое существо в 5 футах. Провал : 17 ( 2к10 + 6 ) Дробящего урона. Успех : Половина урона.",,,,,,,DEXTERITY,16,19985:bonus_actions:0
19986,actions,0,Таран,Ram,attack,,,"Таран . Бросок рукопашной атаки : +5 , досягаемость 5 фт. Попадание : 6 ( 1к6 +3 ) Дробящего урона. Если цель Большого размера или меньше, а лось переместился как минимум на 20 футов по прямой к цели непосредственно перед попаданием, цель получает дополнительно 3 ( 1к6 ) Дробящего урона и состояние Опрокинутый .",,melee,5,5,,,,,19986:actions:0
19987,traits,0,Амфибия,Amphibious,feature,,,"Амфибия . Лягушка может дышать как воздухом, так и под водой.",,,,,,,,,19987:traits:0
19987,traits,1,Прыжок с места,Standing Leap,feature,,,Прыжок с места . Лягушка совершает Прыжки в длину на расстояние до 10 футов и Прыжки в высоту до 5 футов вне зависимости от разбега.,,,,,,,,,19987:traits:1
19987,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +3 , досягаемость 5 фт. Попадание : 1 Колющего урона",,melee,3,5,,,,,19987:actions:0
19988,actions,0,Укус,Bite,attack,,,"Укус . Бросок рукопашной атаки : +3 , досягаемость 5 фт. Попадание : 6 ( 2к4 + 1 ) Колющего урона",,melee,3,5,,,,,19988:actions:0
21152,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Ааракокра совершает две атаки Посохом ветра и может сотворить заклинание Порыв ветра .,,,,,,,,,21152:actions:0
21152,actions,1,Посох ветра,Wind Staff,attack,,,"Посох ветра . Бросок рукопашной или дальнобойной атаки : +5 , досягаемость 5 фт. или дистанция 120 фт. Попадание : 7 ( 1к8 + 3 ) Дробящего урона плюс 11 ( 2к10 ) урона Электричеством.",,melee,5,5,120,,,,21152:actions:1
21152,actions,2,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Ааракокра сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Мудрость, Сл спасброска заклинаний 13): Неограниченно : Волшебная рука , Порыв ветра , Сообщение , Элементализм 1/день : Молния",,,,,,,,,21152:actions:2
