monster_external_id,habitat_code
21152,gory
21152,stikhiynyy_plan_vozdukha
21153,gory
21153,stikhiynyy_plan_vozdukha
21154,lyubaya
21155,podzeme
21155,pod_vodoy
21156,podzeme
21156,stikhiynyy_plan_zemli
21157,bolota
21158,pribrezhe
21158,pustynya
21159,pustynya
21160,pribrezhe
21161,kholmy
21162,lesa
21162,luga
21163,lesa
21164,gory
21164,kholmy
21165,gorod
21165,gory
21167,gory
21167,pustynya
21167,stikhiynyy_plan_vozdukha
21169,bolota
21170,pribrezhe
21170,pustynya
21171,pustynya
21172,pribrezhe
21173,kholmy
21174,lesa
21174,luga
21175,lesa
21176,gory
21176,kholmy
21177,gorod
21177,gory
21179,zverinye_zemli
21180,gorod
21181,gorod
21182,gorod
21183,gorod
21184,lesa
21184,luga
21187,nizhnie_plany
21188,lyubaya
21190,lyubaya
21191,lyubaya
21192,lyubaya
21193,lyubaya
21194,lyubaya
21195,lyubaya
21196,gory
21196,stikhiynyy_plan_ognya
21197,gory
21197,stikhiynyy_plan_ognya
21200,bezdna
21201,lyubaya
21202,lyubaya
21203,lyubaya
21204,lyubaya
21205,lyubaya
21206,devyat_preispodnikh
21207,bezdna
21208,gory
21208,podzeme
21210,devyat_preispodnikh
21211,podzeme
21212,gorod
21212,podzeme
21212,tsarstvo_teney
21213,podzeme
21214,lyubaya
21215,lyubaya
21217,bolota
21218,podzeme
21219,lesa
21219,strana_fey
21220,lyubaya
21222,pribrezhe
21222,pustynya
21223,limbo
21225,devyat_preispodnikh
21226,podzeme
21227,pustynya
21228,lesa
21228,luga
21228,kholmy
21229,pribrezhe
21231,lesa
21231,luga
21231,podzeme
21231,strana_fey
21232,lesa
21232,luga
21232,podzeme
21232,strana_fey
21233,gory
21233,luga
21233,kholmy
21234,gory
21234,luga
21234,kholmy
21235,bolota
21236,bolota
21237,lyubaya
21239,gorod
21239,podzeme
21241,gorod
21241,podzeme
21242,gorod
21242,podzeme
21243,devyat_preispodnikh
21244,bezdna
21245,gory
21245,luga
21245,kholmy
21246,bolota
21246,pribrezhe
21246,podzeme
21247,gorod
21248,podzeme
21249,gory
21250,luga
21251,luga
21252,lyubaya
21253,lyubaya
21255,kholmy
21256,gorod
21256,lesa
21256,luga
21256,pustynya
21258,lyubaya
21260,lyubaya
21261,lyubaya
21262,lyubaya
21263,gory
21263,luga
21263,pribrezhe
21263,podzeme
21263,pustynya
21263,kholmy
21264,gory
21264,luga
21264,pribrezhe
21264,podzeme
21264,pustynya
21264,kholmy
21265,podzeme
21265,stikhiynyy_plan_zemli
21266,podzeme
21267,lyubaya
21268,pustynya
21269,lyubaya
21270,lyubaya
21271,limbo
21272,podzeme
21274,lyubaya
21275,verkhnie_plany
21277,lesa
21277,luga
21277,kholmy
21277,strana_fey
21278,lesa
21279,pribrezhe
21279,stikhiynyy_plan_vozdukha
21280,gorod
21280,podzeme
21281,lyubaya
21283,pribrezhe
21283,pod_vodoy
21284,bezdna
21285,lesa
21285,podzeme
21286,lyubaya
21287,lesa
21288,stikhiynye_plany
21290,gory
21290,podzeme
21290,stikhiynyy_plan_zemli
21291,pustynya
21291,stikhiynyy_plan_ognya
21292,stikhiynyy_khaos
21293,lyubaya
21296,lyubaya
21297,lyubaya
21298,devyat_preispodnikh
21299,lesa
21300,gory
21300,podzeme
21300,kholmy
21301,gory
21301,podzeme
21301,kholmy
21302,gory
21302,podzeme
21302,kholmy
21303,lyubaya
21304,pustynya
21304,stikhiynyy_plan_ognya
21305,gory
21305,podzeme
21306,gory
21306,podzeme
21307,gorod
21307,podzeme
21307,tsarstvo_teney
21308,lyubaya
21309,podzeme
21311,podzeme
21313,arktika
21313,gory
21314,gory
21314,kholmy
21315,gorod
21315,podzeme
21316,podzeme
21317,podzeme
21318,bolota
21318,gorod
21318,podzeme
21319,bolota
21319,gorod
21319,podzeme
21320,bolota
21320,gorod
21320,podzeme
21321,bolota
21321,gorod
21321,podzeme
21323,lyubaya
21352,podzeme
21353,astralnyy_plan
21354,astralnyy_plan
21355,astralnyy_plan
21356,limbo
21357,limbo
21358,limbo
21359,bezdna
21360,lyubaya
21361,lesa
21361,luga
21361,pustynya
21361,kholmy
21362,lesa
21362,luga
21362,pustynya
21362,kholmy
21363,lesa
21363,luga
21363,pustynya
21363,kholmy
21364,lesa
21364,luga
21364,pustynya
21364,kholmy
21366,lesa
21366,luga
21366,podzeme
21366,kholmy
21366,akheron
21366,strana_fey
21367,lesa
21367,luga
21367,podzeme
21367,kholmy
21367,akheron
21367,strana_fey
21368,lesa
21368,luga
21368,podzeme
21368,kholmy
21368,akheron
21368,strana_fey
21369,lesa
21369,luga
21369,podzeme
21369,kholmy
21369,akheron
21369,strana_fey
21370,lesa
21370,luga
21371,lesa
21371,luga
21371,kholmy
21372,bezdna
21373,bolota
21373,gorod
21373,lesa
21374,bezdna
21375,limbo
21376,lesa
21377,bolota
21377,lesa
21377,kholmy
21378,limbo
21379,podzeme
21380,lesa
21380,podzeme
21381,lesa
21381,podzeme
21382,arktika
21382,gory
21382,luga
21382,pribrezhe
21382,kholmy
21383,podzeme
21384,lesa
21384,pustynya
21384,verkhnie_plany
21385,lyubaya
21386,lesa
21386,pustynya
21386,verkhnie_plany
21387,lesa
21388,lyubaya
21389,gory
21389,lesa
21389,pribrezhe
21389,kholmy
21390,bolota
21390,gorod
21390,lesa
21392,gory
21392,podzeme
21392,nizhnie_plany
21393,lyubaya
21394,bezdna
21395,kholmy
21396,gory
21396,luga
21396,kholmy
21398,gory
21398,lesa
21398,luga
21398,podzeme
21398,pustynya
21398,kholmy
21398,akheron
21399,gory
21399,lesa
21399,luga
21399,podzeme
21399,pustynya
21399,kholmy
21399,akheron
21400,gory
21400,lesa
21400,luga
21400,podzeme
21400,pustynya
21400,kholmy
21400,akheron
21401,gory
21401,lesa
21401,luga
21401,podzeme
21401,pustynya
21401,kholmy
21401,akheron
21402,podzeme
21403,devyat_preispodnikh
21405,bolota
21405,pribrezhe
21407,devyat_preispodnikh
21408,stikhiynye_plany
21409,lyubaya
21410,gorod
21410,nizhnie_plany
21411,podzeme
21412,gorod
21413,lyubaya
21415,lyubaya
21416,podzeme
21416,tsarstvo_teney
21417,gorod
21417,lesa
21417,tsarstvo_teney
21419,lyubaya
21420,arktika
21420,bolota
21420,gorod
21420,gory
21420,lesa
21420,pribrezhe
21420,podzeme
21420,pustynya
21420,kholmy
21421,pod_vodoy
21422,pribrezhe
21422,podzeme
21423,pribrezhe
21423,podzeme
21424,pribrezhe
21424,podzeme
21425,pribrezhe
21425,podzeme
21426,bolota
21426,gorod
21426,podzeme
21427,pustynya
21428,nizhnie_plany
21429,devyat_preispodnikh
21430,lyubaya
21433,bolota
21433,lesa
21434,bolota
21434,lesa
21435,lyubaya
21436,lyubaya
21437,stikhiynye_plany
21438,stikhiynyy_plan_ognya
21440,bezdna
21441,bezdna
21442,arktika
21442,gory
21442,luga
21442,pribrezhe
21442,kholmy
21443,pribrezhe
21443,pod_vodoy
21443,stikhiynyy_plan_vody
21444,bezdna
21446,pustynya
21447,pribrezhe
21447,pod_vodoy
21448,pribrezhe
21448,pod_vodoy
21449,pribrezhe
21449,pod_vodoy
21450,geenna
21451,gorod
21451,podzeme
21452,podzeme
21453,podzeme
21454,gorod
21454,podzeme
21454,tsarstvo_teney
21455,podzeme
21456,mekhanus
21457,mekhanus
21458,mekhanus
21459,mekhanus
21460,mekhanus
21461,stikhiynye_plany
21463,bolota
21463,pustynya
21464,bolota
21464,pustynya
21465,podzeme
21466,podzeme
21467,podzeme
21468,podzeme
21469,bezdna
21470,lesa
21471,nizhnie_plany
21472,nizhnie_plany
21473,lyubaya
21474,lyubaya
21475,podzeme
21476,geenna
21477,podzeme
21479,gorod
21479,podzeme
21479,tsarstvo_teney
21480,arktika
21480,bolota
21480,gory
21480,lesa
21480,luga
21480,podzeme
21480,pustynya
21480,kholmy
21481,arktika
21481,bolota
21481,gory
21481,lesa
21481,luga
21481,podzeme
21481,pustynya
21481,kholmy
21482,gorod
21482,lesa
21483,podzeme
21485,lesa
21487,lesa
21487,luga
21487,kholmy
21487,verkhnie_plany
21488,lyubaya
21489,lyubaya
21490,lyubaya
21491,gory
21491,kholmy
21492,gorod
21492,lesa
21492,luga
21492,podzeme
21492,pustynya
21492,kholmy
