source_external_id,slug,name_rusloc,name_engloc,alignment_code,size,size_secondary,is_swarm,swarm_size,armor_class,armor_class_text,initiative_bonus,initiative_score,hp_average,hp_dice_count,hp_dice_sides,hp_dice_modifier,hp_formula,str_score,dex_score,con_score,int_score,wis_score,cha_score,passive_perception,telepathy_ft,cr_rating,cr_value,xp_base,xp_lair,proficiency_bonus,legendary_uses_base,legendary_uses_lair,legendary_text,lore_text,campaign_id,homebrew_id
19821,badger,Барсук,Badger,unaligned,TINY,,false,,11,,0,10,5,1,4,3,1к4+3,10,11,16,2,12,5,13,,0,0,10,,2,,,,,,
19838,ape,Человекообразная обезьяна,Ape,unaligned,MEDIUM,,false,,12,,2,12,19,3,8,6,3к8+6,16,14,14,6,12,7,13,,1/2,0.5,100,,2,,,,,,
19839,bat,Летучая мышь,Bat,unaligned,TINY,,false,,12,,2,12,1,1,4,-1,1к4-1,2,15,8,2,12,4,11,,0,0,10,,2,,,,,,
19840,black-bear,Чёрный медведь,Black bear,unaligned,MEDIUM,,false,,11,,1,11,19,3,8,6,3к8+6,15,12,14,2,12,7,15,,1/2,0.5,100,,2,,,,,,
19841,boar,Кабан,Boar,unaligned,MEDIUM,,false,,11,,0,10,13,2,8,4,2к8+4,13,11,14,2,9,5,9,,1/4,0.25,50,,2,,,,,,
19977,brown-bear,Бурый медведь,Brown bear,unaligned,LARGE,,false,,11,,1,11,22,3,10,6,3к10+6,17,12,15,2,13,7,13,,1,1,200,,2,,,,,,
19978,camel,Верблюд,Camel,unaligned,LARGE,,false,,10,,-1,9,17,2,10,6,2к10+6,15,8,17,2,11,5,10,,1/8,0.125,25,,2,,,,,,
19979,cat,Кошка,Cat,unaligned,TINY,,false,,12,,2,12,2,1,4,0,1к4,3,15,10,3,12,7,13,,0,0,10,,2,,,,,,
19980,constrictor-snake,Удав,Constrictor Snake,unaligned,LARGE,,false,,13,,2,12,13,2,10,2,2к10+2,15,14,12,1,10,3,12,,1/4,0.25,50,,2,,,,,,
19982,crocodile,Крокодил,Crocodile,unaligned,LARGE,,false,,12,,0,10,13,2,10,2,2к10+2,15,10,13,2,10,5,10,,1/2,0.5,100,,2,,,,,,
19983,dire-wolf,Лютый волк,Dire Wolf,unaligned,LARGE,,false,,14,,2,12,22,3,10,6,3к10+6,17,15,15,3,12,7,15,,1,1,200,,2,,,,,,
19984,draft-horse,Упряжная лошадь,Draft Horse,unaligned,LARGE,,false,,10,,0,10,15,2,10,4,2к10+4,18,10,15,2,11,7,10,,1/4,0.25,50,,2,,,,,,
19985,elephant,Слон,Elephant,unaligned,HUGE,,false,,12,,-1,9,76,8,12,24,8к12+24,22,9,17,3,11,6,10,,4,4,1100,,2,,,,,,
19986,elk,Лось,Elk,unaligned,LARGE,,false,,10,,0,10,11,2,10,0,2к10,16,10,11,2,10,6,12,,1/4,0.25,50,,2,,,,,,
19987,frog,Лягушка,Frog,unaligned,TINY,,false,,11,,1,11,1,1,4,-1,1к4-1,1,13,8,1,8,3,11,,0,0,10,,2,,,,,,
19988,giant-badger,Гигантский барсук,Giant Badger,unaligned,MEDIUM,,false,,13,,0,10,15,2,8,6,2к8+6,13,10,17,2,12,5,13,,1/4,0.25,50,,2,,,,,,
21152,aarakocra-aeromancer,Ааракокра аэромант,Aarakocra Aeromancer,neutral,MEDIUM,,false,,16,,3,13,66,12,8,12,12к8+12,10,16,12,13,17,12,17,,4,4,1100,,2,,,,,,
21153,aarakocra-skirmisher,Ааракокра застрельщик,Aarakocra Skirmisher,neutral,MEDIUM,,false,,12,,2,12,11,2,8,2,2к8+2,10,14,12,11,12,11,15,,1/4,0.25,50,,2,,,,,,
21154,aberrant-cultist,Последователь культа аберрации,Aberrant Cultist,neutral_evil,MEDIUM,SMALL,false,,14,,7,17,137,25,8,25,25к8+25,10,19,12,16,18,15,17,30,8,8,3900,,3,,,,,,
21155,aboleth,Аболет,Aboleth,lawful_evil,LARGE,,false,,17,,7,17,150,20,10,40,20к10+40,21,9,15,18,15,18,20,120,10,10,5900,7200,4,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21156,abominable-yeti,Отвратительный йети,Abominable Yeti,chaotic_evil,HUGE,,false,,15,,4,14,137,11,12,66,11к12+66,24,10,22,9,13,9,19,,9,9,5000,,4,,,,,,
21157,adult-black-dragon,Взрослый чёрный дракон,Adult Black Dragon,chaotic_evil,HUGE,,false,,19,,12,22,195,17,12,85,17к12+85,23,14,21,14,13,19,21,,14,14,11500,13000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21158,adult-blue-dragon,Взрослый синий дракон,Adult Blue Dragon,lawful_evil,HUGE,,false,,19,,10,20,212,17,12,102,17к12+102,25,10,23,16,15,20,22,,16,16,15000,18000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21159,adult-brass-dragon,Взрослый латунный дракон,Adult Brass Dragon,chaotic_good,HUGE,,false,,18,,10,20,172,15,12,75,15к12+75,23,10,21,14,13,17,21,,13,13,10000,11500,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21160,adult-bronze-dragon,Взрослый бронзовый дракон,Adult Bronze Dragon,lawful_good,HUGE,,false,,18,,10,20,212,17,12,102,17к12+102,25,10,23,16,15,20,22,,15,15,13000,15000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
